"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	126	55601	226.6
	"Baldwin County, AL"	"01003"	574	218022	263.3
	"Barbour County, AL"	"01005"	93	24881	373.8
	"Bibb County, AL"	"01007"	84	22400	375.0
	"Blount County, AL"	"01009"	179	57840	309.5
	"Bullock County, AL"	"01011"	35	10138	345.2
	"Butler County, AL"	"01013"	78	19680	396.3
	"Calhoun County, AL"	"01015"	477	114277	417.4
	"Chambers County, AL"	"01017"	84	33615	249.9
	"Cherokee County, AL"	"01019"	63	26032	242.0
	"Chilton County, AL"	"01021"	122	44153	276.3
	"Choctaw County, AL"	"01023"	69	12841	537.3
	"Clarke County, AL"	"01025"	77	23920	321.9
	"Clay County, AL"	"01027"	46	13275	346.5
	"Cleburne County, AL"	"01029"	59	14987	393.7
	"Coffee County, AL"	"01031"	182	51909	350.6
	"Colbert County, AL"	"01033"	212	54762	387.1
	"Conecuh County, AL"	"01035"	40	12277	325.8
	"Coosa County, AL"	"01037"	46	10715	429.3
	"Covington County, AL"	"01039"	172	36986	465.0
	"Crenshaw County, AL"	"01041"	57	13824	412.3
	"Cullman County, AL"	"01043"	294	83442	352.3
	"Dale County, AL"	"01045"	117	48956	239.0
	"Dallas County, AL"	"01047"	167	38310	435.9
	"DeKalb County, AL"	"01049"	218	71385	305.4
	"Elmore County, AL"	"01051"	206	81887	251.6
	"Escambia County, AL"	"01053"	101	36748	274.8
	"Etowah County, AL"	"01055"	373	102501	363.9
	"Fayette County, AL"	"01057"	56	16433	340.8
	"Franklin County, AL"	"01059"	99	31363	315.7
	"Geneva County, AL"	"01061"	88	26314	334.4
	"Greene County, AL"	"01063"	34	8233	413.0
	"Hale County, AL"	"01065"	46	14726	312.4
	"Henry County, AL"	"01067"	51	17209	296.4
	"Houston County, AL"	"01069"	219	104722	209.1
	"Jackson County, AL"	"01071"	191	51736	369.2
	"Jefferson County, AL"	"01073"	1609	659300	244.0
	"Lamar County, AL"	"01075"	33	13844	238.4
	"Lauderdale County, AL"	"01077"	241	92387	260.9
	"Lawrence County, AL"	"01079"	113	32957	342.9
	"Lee County, AL"	"01081"	200	163941	122.0
	"Limestone County, AL"	"01083"	255	96174	265.1
	"Lowndes County, AL"	"01085"	28	9974	280.7
	"Macon County, AL"	"01087"	84	18439	455.6
	"Madison County, AL"	"01089"	906	366519	247.2
	"Marengo County, AL"	"01091"	96	19066	503.5
	"Marion County, AL"	"01093"	120	29763	403.2
	"Marshall County, AL"	"01095"	267	96109	277.8
	"Mobile County, AL"	"01097"	1147	413757	277.2
